---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                               
---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  errors.ts                      |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  externalLink.ts                |   24.32 |    29.16 |   16.66 |    25.8 | 18-36,53,61-89                                                                                                                                                                                                                                                                                                  
  format.ts                      |   49.12 |       36 |    62.5 |   55.55 | 57-60,70-75,89-99,105-106                                                                                                                                                                                                                                                                                       
  installments.ts                |      75 |    62.85 |      75 |   80.95 | 34-37                                                                                                                                                                                                                                                                                                           
  installmentsRefresh.ts         |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  json.ts                        |      50 |     8.33 |   66.66 |      50 | 10-14,19-20                                                                                                                                                                                                                                                                                                     
  messageGlobalContext.ts        |   69.04 |       50 |   77.77 |   75.75 | 16-21,29,38,41                                                                                                                                                                                                                                                                                                  
  numberInput.ts                 |   70.58 |       50 |      80 |   78.57 | 44-46                                                                                                                                                                                                                                                                                                           
  permissions.ts                 |     100 |       90 |     100 |     100 | 170                                                                                                                                                                                                                                                                                                             
  personColor.ts                 |   94.44 |    76.92 |     100 |     100 | 26,29-33                                                                                                                                                                                                                                                                                                        
  roles.ts                       |    62.5 |       25 |   66.66 |   71.42 | 7-8                                                                                                                                                                                                                                                                                                             
  safe.ts                        |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  sanitizeHtml.ts                |   70.83 |    64.15 |     100 |   91.17 | 40-42                                                                                                                                                                                                                                                                                                           
  scrollLock.ts                  |   82.22 |    64.51 |     100 |    92.5 | 38,56,66                                                                                                                                                                                                                                                                                                        
  searchNormalize.ts             |     100 |       50 |     100 |     100 | 10-12,27-43                                                                                                                                                                                                                                                                                                     
  sessionFilterStorage.ts        |    7.69 |        0 |       0 |      10 | 4-17                                                                                                                                                                                                                                                                                                            
  sqlSyncBlockingUi.ts           |   22.22 |        0 |       0 |      25 | 15-35                                                                                                                                                                                                                                                                                                           
  tenancy.ts                     |   84.44 |    73.21 |     100 |   88.23 | 50-54                                                                                                                                                                                                                                                                                                           
  unknown.ts                     |   83.33 |      100 |   66.66 |   83.33 | 12                                                                                                                                                                                                                                                                                                              
  whatsapp.ts                    |   60.97 |    57.35 |   45.45 |   68.65 | 10,42-46,106-107,123-124,157-169                                                                                                                                                                                                                                                                                
  wordTemplatePlaceholderDocx.ts |       0 |        0 |       0 |       0 | 5-78                                                                                                                                                                                                                                                                                                            
  xlsx.ts                        |   59.71 |    68.96 |   68.42 |   59.29 | 30,62-107,115-139                                                                                                                                                                                                                                                                                               
---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
